InputID,TargetID,Distance
Nicopolis ad Istrum,Mesambria Pontica,2.16136284007
Nicopolis ad Istrum,Apollonia Pontica,2.23703946374
Nicopolis ad Istrum,Odessos,2.3055560668
Nicopolis ad Istrum,Maroneia,2.31914584846
Nicopolis ad Istrum,Serdica,2.34757493417
Nicopolis ad Istrum,Abdera,2.36976407365
Nicopolis ad Istrum,Municipium Montanensium,2.38612793565
Nicopolis ad Istrum,Nicopolis ad Nestum,2.434139444
Nicopolis ad Istrum,Ainos,2.53692154559
Nicopolis ad Istrum,Dionysopolis,2.53842061001
Nicopolis ad Istrum,Bizye,2.71007207505
Nicopolis ad Istrum,Parthicopolis,2.85357358856
Nicopolis ad Istrum,Heraclea Sintica,2.9285279054
Nicopolis ad Istrum,Pautalia,3.07311449211
Nicopolis ad Istrum,Sestos,3.09833134531
Nicopolis ad Istrum,Perinthos,3.24751831002
Nicopolis ad Istrum,Selymbria,3.45047773523
Nicopolis ad Istrum,Byzantion,4.00468414281
Municipium Montanensium,Serdica,0.725508799369
Municipium Montanensium,Pautalia,1.25974043182
Municipium Montanensium,Parthicopolis,1.85067555233
Municipium Montanensium,Nicopolis ad Nestum,1.90600407248
Municipium Montanensium,Heraclea Sintica,1.95152440116
Municipium Montanensium,Philippopolis,1.9795618619
Municipium Montanensium,Seuthopolis,2.22172218908
Municipium Montanensium,Nicopolis ad Istrum,2.38612793565
Municipium Montanensium,Augusta Traiana,2.59018951828
Municipium Montanensium,Abdera,3.02420007874
Municipium Montanensium,Kabyle,3.35927261662
Municipium Montanensium,Maroneia,3.39812109032
Municipium Montanensium,Hadrianopolis,3.75636206133
Municipium Montanensium,Ainos,3.92161234618
Municipium Montanensium,Marcianopolis,4.35618701903
Municipium Montanensium,Sestos,4.49026725263
Municipium Montanensium,Mesambria Pontica,4.53292496649
Municipium Montanensium,Apollonia Pontica,4.57723869695
Municipium Montanensium,Odessos,4.6876025168
Municipium Montanensium,Bizye,4.89261769826
Municipium Montanensium,Dionysopolis,4.90910372713
Municipium Montanensium,Perinthos,5.31829901529
Municipium Montanensium,Selymbria,5.6140752933
Municipium Montanensium,Byzantion,6.2058159333
Ainos,Sestos,0.589245397
Ainos,Maroneia,0.595009951032
Ainos,Hadrianopolis,1.06149994454
Ainos,Abdera,1.14038393273
Ainos,Augusta Traiana,1.75863243548
Ainos,Kabyle,1.87775630554
Ainos,Bizye,1.88151175608
Ainos,Perinthos,1.88585331921
Ainos,Philippopolis,1.94847138715
Ainos,Seuthopolis,2.04925399032
Ainos,Selymbria,2.31474584343
Ainos,Apollonia Pontica,2.33852410428
