Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
12645,"2189|12644",,,,,
9246,"8462|485",,,,,
8463,"8462|2659",,,,,
4784,"4783|3423",,,,,
4820,"4819",,,,,
5449,"248","898",,"291",,"Husband of Blosti Potamonos"
8984,"249",,,,,
12893,"5801",,,,,
5481,"5480",,,"685",,"husband of Filiste, daughter of Hestiaios"
14499,"254","14498",,,,
15327,"15325","12166",,,,
13997,"256","13996",,,,
15864,"2204|2241",,,,,
9425,"2204|2243",,,,,
15555,"2964",,,,,
16049,"2215","16047",,,,
16687,"260",,,,,
8991,"8990",,,,,
9118,"264","9117",,,,
9962,"264",,,,,
5712,"2973","1496",,"3508",,"husband of Iaathites, daughter of Apollonios"
7789,"266","274",,,,
5417,"3621","1248",,,,
4671,"3066",,,,,
6795,"6794",,,,,
15283,"15281|15282",,,,,
3933,"271","196",,,,
7612,"7611","2873",,,,
7609,"7608","285",,,,
9150,"9148","9149",,,,
9916,"273",,,,,
9547,"274","247",,,,
7818,"274","7790",,,,
7813,"274","7812",,,,
7814,"274","310",,,,
7754,"274","426",,,,
8378,"274","491",,,,
7730,"274","7188",,,,
7560,"274","2233",,,,
7728,"274","1194",,,,
15118,"274","15117",,,,
7788,"274","1616",,,,
9121,"9119|9064|9120",,,,,
4673,"4672","2257",,,,
8509,"279","135",,,,
4690,"279","289",,,,
4530,"279",,,"4529",,
10336,"10335",,,,,
4481,"4479","4480",,,,
4384,"280","4383",,,,
8180,"280",,,,,
4573,"2879","680",,,,
16370,"16369",,,,,
4692,"3081","1170",,"1433",,
15064,"15062|15063",,,,,
4317,"286","1307",,,,
13942,"13941","119",,,,
15898,"2221",,,,,
10208,"5078","377",,,,
5426,"5425","1702",,,,
5450,"291","1377",,,,
5414,"291","1739",,,,
5439,"3603","1762",,"20",,
15052,"15051","141",,,,
16077,"15051","630",,,,
15515,"297","297",,,"297",
15334,"15333","775",,,,
7817,"7816","274",,,,
5737,"3525","739",,,,
7786,"7785","1194",,,,
7222,"305","1194",,,,"brother of Moukatralis"
7750,"307","274",,,,
7103,"7102",,,,,
8479,"8478",,,,,
7749,"309","247",,,,
7815,"309","497",,,,
7748,"309","578",,,,
8709,"7223","999",,,,
7224,"7223","1194",,,,
10370,"311","1615",,,,
15620,"314","1068",,,,
4804,"3453",,,"1026",,"from Ankyra Galatias"
4587,"2890|388",,,"2889",,
4586,"2889|4585",,,"2890",,"wife Brouttia Demetria"
7606,"317","1194",,,,
4618,"4616|4617",,,,,
15420,"318","15419",,,,
15481,"325","1095",,,,
15798,"15797","827",,,,
16316,"16315",,,,,
16331,"16330",,,,,
15157,"15156","1064",,,,
14395,"331","1265",,,,
11584,"11583","816",,,,
9320,"334","9319",,,,
5745,"334","343",,"657",,"wife of Fainippos, son of Apollofanes, from Herakleia"
15210,"334","2929",,,,
9657,"334",,,"8060",,
10255,"335","10254",,,,
11548,"335","335",,,,
15531,"335",,,"15530",,
15320,"15319",,,,,
9020,"9019",,,,,
13917,"13916",,,"356",,
5757,"338","56","5756",,,
14130,"14128|14129",,,,,
5836,"339","2257",,,,
15465,"340","568","6448","15464",,
14334,"340","1128",,,,
15211,"2929","141",,,,
8883,"8882",,,,,
16062,"16061","16057",,,,
8745,"352","8744",,,,
14100,"14099","212",,,,
14046,"14044",,,"14045",,
15234,"356","15233",,,,
13915,"356","1128",,,,
15388,"356","2257","15387",,,
15113,"359","14992",,,,
15324,"359",,,,,
8747,"8746",,,,,
15075,"15073","15074",,,,
15044,"15042","15042",,,,
14364,"14363","1136",,,,
14995,"14994","1232",,,,
15028,"15027","5415",,,,
15827,"15825","15826",,,,
9589,"365","7479",,,,
4694,"3082",,,,,
9060,"373","485",,,,
4343,"374","2736",,,,
7591,"374",,,,,
10071,"380",,,,,
4391,"4389","4390",,,,
4242,"3095","1593",,,,
15302,"3412|15301",,,,,
4770,"3412|3413|699",,,,,
4771,"3412|3413|2257",,,,,"patron of Dekmos Seios Foibos"
14135,"14134","140",,,,
15702,"15700","15701",,,,
4144,"390","140",,,,
5422,"390","196",,"685",,"husband of Filiste Zeni"
4145,"390","2929",,,,
15376,"390","390",,,,
10232,"390","4336",,,,
16112,"390","16111",,,,
13955,"390","877",,,,
16305,"390","1068",,,,
8856,"390","2176",,,,
14022,"390","1126",,,,
15100,"390","1150",,,,
3908,"390","3948",,,,
16016,"390",,,,,
10270,"10269","264",,,,
4286,"391",,,,,
15270,"15269","462",,,,
4813,"395",,,,,
9201,"399","274",,,,
14006,"399","1067",,,,
8855,"399","2176",,,,
7794,"399","1616",,,,
4077,"399","4076","2297",,,
4547,"400","792",,,,"brother of Amynadros"
4217,"400","4216",,,,
10315,"405","10314",,,,
8713,"8712","530",,,,
10365,"408","998",,,,
9162,"9161","1442",,,,
15992,"15991",,,,,
15115,"15114","1119",,,,
4514,"420","2835",,,,
7753,"423","307",,,,
7780,"423","310","7779",,,
7792,"423","1085",,,,
16611,"16610","825",,,,
15794,"433","15669",,,,
4449,"435","456",,,,
9128,"438","1697","4232",,,
16037,"442","6761",,,,
8374,"442",,,,,
6910,"443","310",,,,
10010,"2454","1587",,,,
10006,"446","350",,,,
15244,"15243","435",,,,
15379,"15243","1222",,"15328",,
15135,"449","141",,,,
7312,"449","2189",,,,"son od Aurelios Diodoros Ingenes"
4275,"449","4274",,,,
15316,"449","909",,,,
14323,"449","3191",,,,
16227,"451","16226",,,,
4450,"452","435",,,,
4760,"455","4759",,"2229",,
4993,"456","1119",,,,
9249,"456","1196",,,,
4265,"456","2719",,,,
4408,"456","1383",,,,"husband of Glykera"
16616,"456","16615",,,,
5465,"456","1761",,"3589",,"husband of nana, daughter of Hellen and second wife Thetheis, daughter of Asklepiades"
4461,"456","4460",,,,
4803,"456",,,,,
13088,"456",,"13087",,,
4708,"4707|2188|610","639",,,,
16606,"457","16605",,,,
4684,"3072",,,,,
4679,"4678",,,,,
7781,"461","461",,,,
15448,"462","804",,,,
15138,"465","1092",,,,
4572,"465","1108",,"2287",,"wife of Dionysios, son of Dorion"
15251,"465","14531",,,,
14051,"2287","57",,,,
5494,"2287","116",,,,
15200,"2287","135",,,,
4289,"2287","141",,,,
11606,"2287","6724",,,,
5726,"2287","399","5725",,,
14492,"2287","14491",,,,
14309,"2287","2287",,,,
4273,"2287","4272",,,,
4541,"2287","4540",,,,
4306,"2287","497",,,,
4571,"2287","499",,,,
5416,"2287","5415",,"3621",,"husband of Batheis Noumeniou"
4256,"2287","728",,,,
4269,"2287","846",,,,
15434,"2287","15433",,,,
16255,"2287","997",,,,
4558,"2287","1022",,,,
15445,"2287","2176",,,,
15358,"2287","1128",,,,
15265,"2287","15264",,,,
15948,"2287","1266",,,,
15083,"2287","1372",,,,
5506,"2287","1388",,"1379",,"husband of Potou, daughter of Protagoras"
5729,"2287","2257",,"3522",,"husband of Touta, daughter of Dionysios"
15879,"2287","1533",,"1078",,"father of Skarkeza, daughter"
4200,"2287","1642",,,,
4985,"2287","1652",,,,
15721,"2287","15720",,,,
4746,"2287","4745",,,,
4632,"2287",,,,,
9496,"2287|9495",,"6178",,,
4983,"2287|1297","842",,,,
5829,"2287|3486","2287",,"3487",,"husband of Iadon, daughter of Artemidoros"
15092,"6986","15091",,,,
15284,"6986","743",,,,
15447,"6986","841",,,,
15504,"6986","12166",,,,
14290,"6986","5364",,,,
14034,"469","683",,,,
15203,"470","1640",,,,
4103,"470","1648",,,,
4108,"472",,,,,
4388,"4274","4387",,,,
15753,"4112","228",,,,
4113,"4112",,,,,
4251,"473|2716",,,,,
15850,"473","15825",,,,
15737,"473","463",,,,
4254,"473","2287",,,,
4248,"473","473",,,,
4972,"473","792",,,,
