Heurist ID|Administrative keywords|Formulaic keywords|Honorific keywords|Religious keywords|Epithet|Collective group names|Geographic names|Person|
2483 | | | | | | | | Unknown, child of Diogenes, partner of, grandchild of, | 
2484 | | | | | | | | Paul[os], child of, partner of, grandchild of, | 
2485 | | | | | | | | Unknown, child of Dion[?], partner of, grandchild of, | 
2486 | | | | | | | | Hylas, child of, partner of, grandchild of, | 
2487 | | | | | | | | Loukios, Antonios, child of, partner of, grandchild of, | 
2488 | | | | | | | | Antonios, Bo[?], child of, partner of, grandchild of, | 
2489 | | | | | | | | | 
2490 | | | | | | | | | 
2492 | | Parodita,Parodeita, Chaire, | | | | Abderites, | | Demosthenes, child of [?]los, partner of, Abderites, grandchild of, | 
2493 | | Chaire, Parodita,Parodeita, | | | | | | Aulouzenis, child of Diasenis, partner of, grandchild of, Taroula, child of, partner of Aulouzenis, grandchild of, | 
2494 | | | | | Epekoos, | | | Skompes, child of, partner of, grandchild of, | 
2495 | | | | | | | | Seuth[?], child of, partner of, grandchild of, | 
2496 | Horos, | | | Zeus, Athena, | Horios, | | | | 
2497 | | | | Athena, | Podalirios, Machaon, Periestos, | | | | 
2498 | | Mnema,Mneme, Stesai, | | | | | | Antikrates, child of Hekataios, partner of, grandchild of, Herainna, child of Antagoras, partner of Antikrates, grandchild of, | 
2500 | | | | | | Paroites, | | Niostratos?, child of, partner of, Paroites, grandchild of, | 
2503 | | | | | | | | Aristarchos, child of Pythonymos, partner of, grandchild of, | 
2504 | | | | | | | | [B]ition, child of Aristomenes, partner of, grandchild of, | 
2505 | | | | | | | | Zenon, child of Posideios, partner of, grandchild of, | 
2508 | | | | | | | | Metrofante, child of Nestis, partner of, grandchild of, | 
2509 | | | | | | | | Metrofon, child of Metrodotos, partner of, grandchild of, | 
2510 | | | | | | | | Nikarete, child of [S]imos, partner of, grandchild of, | 
2511 | | | | | | | | [?]kos, child of S[ib]yrtios, partner of, grandchild of, | 
2512 | | | | | | | | [Her]onestos, child of [Hip]pokritos, partner of, grandchild of, | 
2514 | | | | | | | | Aristas, child of Heroboulos, partner of, grandchild of, | 
2515 | | | | | | | | Aristoboulos, child of Nymenios, partner of, grandchild of, | 
2518 | | | | | | | | Dionysofanes, child of Theokles, partner of, grandchild of, | 
2521 | | | | | | | | Nes[tokles], child of Panta[kles], partner of, grandchild of, | 
2522 | | | | | | | | Sime, child of Nymes, partner of, grandchild of, | 
2523 | | | | | | | | Dionysothemis, child of, partner of, grandchild of, | 
2524 | | | | | | | | | 
2525 | | | | | | | | Apollodoros, child of Antifanes, partner of, grandchild of, | 
2526 | | | | | | | | Herainna, child of Artemon, partner of, grandchild of, | 
2527 | | | | | | | | Metrodotos, child of Herandros, partner of, grandchild of, | 
2528 | | | | | | | | Dioskorides, child of, partner of, grandchild of, | 
2529 | | | | | | | | Protofaos, child of Heresstratos, partner of, grandchild of, | 
2536 | | | | | | | | [D]iogeiton, child of [Hek]ataios, partner of, grandchild of, | 
2537 | | | | | | | | | 
2538 | | | | | | | | Nestoris, child of Prokritos, partner of, grandchild of, | 
2539 | | | | | | | | Aristas, child of Komaios, partner of, grandchild of, | 
2540 | | | | | | | | Athenais, child of Prokles, partner of, grandchild of, | 
2542 | | | | | | | | Echedemos, child of Apelles, partner of, grandchild of, | 
2544 | | | | | | | | Patrokles, child of Dionysofanes, partner of, grandchild of, | 
2545 | | | | | | | | Patrokles, child of Pausanias, partner of, grandchild of, | 
2546 | | | | | | | | Arkesile, child of Herakleios, partner of, grandchild of, | 
2548 | | | | | | | | Aspo, child of Metrodotos, partner of, grandchild of, | 
2549 | | | | | | | | Hermon, child of Polyaratos, partner of, grandchild of, | 
2550 | | | | | | | | Euboule, child of [Ari]stomachos, partner of, grandchild of, | 
2551 | | | | | | | | Herais, child of Dioskour[ides], partner of, grandchild of, | 
2552 | | | | | | | | Metrofon, child of Herofilos, partner of, grandchild of, | 
2553 | | | | | | | | Protis, child of Heronestos, partner of, grandchild of, | 
2554 | | | | | | Abderites, | | Abderion, child of Xenofon, partner of, grandchild of, | 
2555 | | | | | | | | Leonti[?], child of Dionysofa[nes], partner of, grandchild of, | 
2556 | | | | | | | | [?]okrates, child of, partner of, grandchild of, | 
2557 | | | | | | | | Antagoras, child of Astos, partner of, grandchild of, | 
2559 | | | | | | | | Antiochos, child of Arignotos, partner of, grandchild of, | 
2560 | | | | | | | | Artemo, child of Hegesippides, partner of, grandchild of, | 
2561 | | | | | | | | Demetrios, child of Apollonides, partner of, grandchild of, | 
2562 | | | | | | | | Demetrios, child of Dadas, partner of, grandchild of, | 
2564 | | | | | | | | Kleopatre, child of, partner of, grandchild of, | 
2565 | | | | | | | | Lampyris, child of Pancharmos, partner of, grandchild of, | 
2566 | | | | | | | | [?]arche, child of, partner of, grandchild of, | 
2567 | | | | | | | | [?]ros, child of [Her]obolos, partner of, grandchild of, | 
2568 | | | | | | | | Unknown, child of [Di]filos, partner of, grandchild of, | 
2569 | | | | | | | | | 
2570 | | | | | | | | | 
2571 | | | | | | | | Glaukos, child of Antipatrides, partner of, grandchild of, Kriton, child of Antipatrides, partner of, grandchild of, | 
2572 | | | | | | | | [?]agros, child of [F]anipp[os], partner of, grandchild of, [?]tas, child of [F]anipp[os], partner of, grandchild of, | 
2573 | | | | | | | | Unknown, child of Herodoros, partner of, grandchild of Menes, | 
2574 | | | | | | | | Metrodotos, child of Artemon, partner of, grandchild of Mandron, | 
2575 | | | | | | Aiginetes, | | Kikos, child of Frasidemos, partner of, Aiginetes, grandchild of, | 
2577 | | | | | | Amfipolites, | | Timo, child of, partner of, Amfipolites, grandchild of, Sopolis, child of, partner of, Amfipolites, grandchild of, | 
2579 | | Charin, | | | | | | Hyakinthos, child of, partner of, grandchild of, | 
2588 | Demos, Presbys, Eleutheros, Symmachia, Chora, Boule, | Chalkoma, | | hiereus, Dionysus, Dionysion, Kapitolion, | | Romaioi, Maronitai, Ainioi, | Maroneia, Rome, | Epigonos, child of, partner of, grandchild of, Metrofanes, child of, partner of, grandchild of, Unknown, child of Atheneus, partner of, grandchild of, Agathomenes, child of, partner of, grandchild of, Pythion, child of Heragoras, partner of, grandchild of, Leukios, Aimilios, Paulos, child of, partner of, grandchild of, | 
2595 | Nomos, Demos, | | Asylia, | hieron, | | Maronitai, | Kos, | | 
2597 | | | Prosodos pros ten boulen/demon/polin, | | | | | | 
2610 | Polis, Boule, | Agathe tyche, | Asylia, | | | | | | 
2611 | Nomofylax, Polis, | | Agathos aner, | | | Athenaios, | | Herakleitos, child of Unknown, partner of, Athenaios, grandchild of, | 
2612 | Boule, Polis, | Edoxen, | | | | | | | 
2613 | Polis, Chora, | | Eisagoge and exagoge, Asylia, | | | | Maroneia, | | 
2614 | Boule, Polis, Demos, | Edoxen, | | | | | | Unknown, child of Kallikritos, partner of, grandchild of, Unknown, child of Ekfantos, partner of, grandchild of, | 
2615 | Polis, Demos, Boule, | Edoxen, | Epainesai, | | | | | | 
2616 | Demos, Boule, Politeia, | | Stefanos, Arete, Eunoia, Eisplous and ekplous, Asylia, Enktesis, Efodos, Proxenos, Euergetes, | | | Chalkedonios, | | Pausimachos, child of Dieios, partner of, Chalkedonios, grandchild of, | 
2618 | Kerykes, Psefisma, | Anagrapsai, Eis stelen lithinen, | Stefanos, Eunoia, Proedria, Proxenos, | | | Romaioi, | | Markos, Poplios, child of, partner of, Romaioi, grandchild of, | 
2619 | | Edoxen, | | Dionysus, hiereus, | | | | Herai[on?], child of, partner of, grandchild of, | 
