Heurist ID,Geolocation,Start Year,End Year
2572,POINT(25.2863216 40.9396469),-499,-300
2573,POINT(25.2865791 40.9400359),-460,-440
2574,POINT(25.2847767 40.9387391),-399,-375
2575,POINT(25.2837467 40.9377666),-450,-425
2577,POINT(25.28615 40.9386743),-375,-350
2579,POINT(25.2841759 40.9393875),200,299
2581,POINT(28.1671 43.4076041),,
2584,POINT(28.1666279 43.40776),157,157
2587,POINT(28.1671429 43.4078223),212,300
2588,POINT(25.5105114 40.8734805),-167,-167
2595,POINT(27.282207 36.9096087),-242,-242
2597,POINT(25.5117989 40.8734156),-250,-200
2605,POINT(28.16607 43.4085706),175,225
2608,POINT(28.1658554 43.4085394),217,220
2610,POINT(25.5136013 40.8747136),-299,-200
2611,POINT(25.512228 40.8769202),-299,-100
2612,POINT(25.5118847 40.8741295),-299,-100
2613,POINT(25.5109406 40.8737401),-299,-100
2614,POINT(25.5110264 40.8741295),-299,-100
2615,POINT(25.5118847 40.8745838),-150,-100
2616,POINT(25.5128288 40.8797108),-199,-100
2618,POINT(25.5115414 40.8746487),-199,-100
2619,POINT(25.5106831 40.8734805),-99,-1
2620,POINT(25.5191995 40.4962313),41,46
2625,POINT(25.5117989 40.8743242),1,199
2627,POINT(25.5111122 40.8741295),-199,-1
2628,POINT(25.5103397 40.873805),-199,-180
2630,POINT(25.5101681 40.8732858),-199,-100
2632,POINT(25.5110264 40.8739348),-199,-100
2633,POINT(25.5110264 40.8736103),131,131
2637,POINT(25.512228 40.8778937),-260,-240
2638,POINT(25.5099106 40.8730262),-199,-100
2639,POINT(25.5106831 40.8775692),150,199
2640,POINT(25.5112839 40.8756871),100,199
2641,POINT(25.5115414 40.8746487),100,199
2644,POINT(28.1657267 43.4084147),218,222
2647,POINT(28.165555 43.4083835),193,235
2648,POINT(28.16607 43.4083212),-400,-300
2650,POINT(28.1657696 43.4083835),-300,-200
2651,POINT(28.1657267 43.4082588),-300,-200
2654,POINT(28.0248356 43.3797876),-200,-100
2655,POINT(28.1658983 43.4085082),241,244
2660,POINT(28.1657696 43.4083835),222,235
2661,POINT(28.1661987 43.4084459),,
2662,POINT(28.1653833 43.4081653),214,214
2665,POINT(28.1659412 43.4081341),-400,-200
2666,POINT(28.1654692 43.4085394),-300,-200
2667,POINT(28.165555 43.40829),-300,-200
2668,POINT(28.1656837 43.4083835),,
2669,POINT(28.1659842 43.4083212),,
2670,POINT(28.1799745 43.4548816),,
2671,POINT(25.5114555 40.8759467),100,299
2672,POINT(25.5110264 40.8751679),200,299
2673,POINT(25.5105972 40.8730262),200,299
2674,POINT(25.5107689 40.8741295),200,299
2675,POINT(25.5114555 40.8745838),200,299
2676,POINT(25.5111122 40.8750381),200,299
2678,POINT(25.5103397 40.8746487),200,299
2679,POINT(25.5099106 40.8736752),200,299
2680,POINT(25.5116272 40.8758818),-199,-1
2684,POINT(25.5100822 40.8740646),-99,-1
2686,POINT(25.511713 40.8749083),-99,99
2687,POINT(25.5125713 40.8753626),-99,99
2690,POINT(25.5135155 40.8756222),180,220
2692,POINT(25.5124855 40.8780883),-99,-1
2696,POINT(25.512228 40.8752977),-150,-80
2704,POINT(25.5114555 40.8758818),-199,-1
2705,POINT(25.5104256 40.8753626),99,99
2706,POINT(25.5108547 40.8758169),70,101
2708,POINT(25.512228 40.8753626),98,102
2709,POINT(25.5104256 40.874454),131,131
2710,POINT(25.5111122 40.8741295),-99,-1
2712,POINT(25.511198 40.8746487),-199,-1
2725,POINT(25.5108547 40.8743242),-99,-1
2726,POINT(25.5104256 40.873805),-350,-300
2727,POINT(25.5110264 40.875103),-199,-180
2733,POINT(25.511198 40.875103),100,199
2734,POINT(25.5109406 40.8753626),100,299
2735,POINT(25.5113697 40.876401),200,299
2737,POINT(25.5114555 40.8752977),200,299
2739,POINT(25.511713 40.8759467),200,399
2741,POINT(25.5106831 40.8758169),200,399
2744,POINT(25.4117203 41.1109168),-399,-300
2745,POINT(25.5111122 40.877699),-325,-300
2746,POINT(25.512228 40.8758169),-360,-340
2748,POINT(25.5108547 40.8756871),-350,-300
2749,POINT(25.5112839 40.8756871),-350,-300
2750,POINT(25.511198 40.8750381),-399,-200
2751,POINT(25.5113697 40.8755573),-299,-280
2752,POINT(25.511713 40.8765308),-299,-280
2754,POINT(25.5110264 40.8741944),-320,-250
2755,POINT(25.5102539 40.8746487),-260,-240
2756,POINT(25.5121424 40.875497),-299,-200
2757,POINT(25.5112839 40.8743891),-299,-200
2758,POINT(25.5108547 40.8747136),-299,-200
2759,POINT(25.5109406 40.8747136),-299,-200
2760,POINT(25.5104256 40.8739997),-299,-200
2761,POINT(25.5103397 40.8745189),-299,-200
2762,POINT(25.511198 40.8747785),-299,-200
2763,POINT(25.5100822 40.8754275),-250,-200
2764,POINT(25.5105972 40.8753626),-299,-100
2766,POINT(28.16607 43.4084459),,
2767,POINT(28.1659842 43.4085394),,
2768,POINT(28.0568075 43.3435945),,
2769,POINT(28.0569792 43.3436881),,
2770,POINT(27.9009819 43.2046128),-250,-200
2771,POINT(27.9017544 43.2051133),-210,-200
2772,POINT(27.9009819 43.2048004),-300,-200
2774,POINT(27.9179978 43.1981879),-220,-180
2775,POINT(27.9020119 43.2052071),-220,-180
2776,POINT(27.9181802 43.2003114),-300,-100
2777,POINT(27.9026127 43.2047379),-300,-100
2781,POINT(27.901926 43.204863),-185,-169
2783,POINT(27.9021835 43.2049256),-300,-100
2785,POINT(27.9030418 43.2049881),-300,-100
2787,POINT(27.9179925 43.1981724),-200,-1
2788,POINT(27.9018402 43.204863),-45,-43
2789,POINT(27.9180944 43.1994002),-20,-1
2791,POINT(27.9022694 43.2046753),-100,-1
2794,POINT(25.5136824 40.8837976),-299,-100
2796,POINT(25.5131721 40.8801001),-299,-100
2797,POINT(25.5186653 40.8797108),-99,-1
2798,POINT(25.5106831 40.8793863),-99,-1
2799,POINT(25.5109406 40.8743242),-338,-30
2800,POINT(25.5357456 40.8803597),-338,-30
2801,POINT(25.5095673 40.8812682),,
2802,POINT(25.5118847 40.8745189),99,99
2803,POINT(25.5118847 40.8771149),100,199
2804,POINT(25.5121422 40.87705),100,299
2805,POINT(25.5105972 40.8741944),-338,-30
2806,POINT(25.5112839 40.8746487),-220,-200
2807,POINT(25.5115414 40.8754275),-199,-100
2808,POINT(25.5114555 40.8765957),-338,-30
2809,POINT(25.5121422 40.876401),1,99
2811,POINT(25.5112839 40.8754275),100,199
2812,POINT(25.5129147 40.8769202),-299,-200
2813,POINT(25.512743 40.8788022),-199,-180
2815,POINT(25.5109406 40.8799703),-338,-30
2816,POINT(25.5091343 40.8823716),-350,-300
2817,POINT(25.5100822 40.8841884),-299,-280
2818,POINT(25.5128288 40.8777639),-27,284
2819,POINT(25.5112839 40.8771798),-299,-200
2822,POINT(25.5113697 40.8783479),-250,-200
2824,POINT(25.5113697 40.8784777),-299,-200
2826,POINT(25.5117989 40.8780883),-299,-200
2827,POINT(25.5117989 40.8791267),-199,-100
2828,POINT(25.5116272 40.8774394),-199,-1
2829,POINT(25.5120564 40.8777639),-199,-1
2830,POINT(25.5142021 40.8794512),-199,-1
2831,POINT(25.512743 40.8769202),-99,-1
