Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
10965,"2188|1404",,,"196",,"Her husband was Aurelios Artemidoros"
6500,"2188|3149",,,,,
12600,"2188|12548","7931",,"456",,
15352,"2188|12548","15346",,,,
12748,"2188|12747",,,"1457",,
13408,"2188|11935|13407","2462",,,,
12706,"2188|1638","10419",,"3735",,
16217,"2188|1638","1768",,,,
15401,"2188|15068|15400","1645",,,,
11716,"2188|1711","11715",,,,
12509,"2188|12508",,,"643",,
12592,"12590|12591","12586",,,,
7401,"6868|6475",,,,,
7284,"6868|6237",,,,,
14450,"2189|10254",,,"3935",,
12763,"2189|14","12762","12765","465",,
5181,"2189|20","2929",,,,
5142,"2189|20","756",,,,
5133,"2189|20","2229",,,,
5165,"2189|20","2928",,,,
8502,"2189|8501",,,,,
5225,"2189|2182","792",,,,
12761,"2189|12760",,"5725",,,
5141,"2189|2183","613",,,,
4198,"2189|4197",,,,,
5275,"2189|56","5274",,,,
5252,"2189|56","56",,,,
12578,"2189|56","2188",,,,
5109,"2189|56","1740",,,,
7672,"2189|56",,,,,
7249,"2189|56|7248",,,,,
12588,"2189|12586",,,"12587",,
5227,"2189|5856","1132",,,,
5245,"2189|5856","1529",,,,
5294,"2189|124","236",,,,
5167,"2189|124","2929",,,,
5120,"2189|124","2263",,,,
11233,"11232|2176|2189|2609",,,,,
9281,"2189|7132",,,,,
5172,"2189|2185","2931",,,,
4910,"2189|4909",,,,,
5179,"2189|2932","58",,,,
5149,"2189|2932","2176",,,,
5157,"2189|2932","1548",,,,
13069,"2189|13068","1757",,,,
5287,"2189|129","129",,,,
4858,"2189|4857",,,,,
10197,"2189|6156",,,,,
5277,"2189|135","5655",,,,
5235,"2189|135","20",,,,
5272,"2189|135","2204",,,,"Father's name Valerios Apollodoros (but may be also Valerios Apollodorou)"
5156,"2189|135","1139",,,,
8473,"2189|135",,,,,
11045,"2189|136",,,,,
13528,"2189|137",,,,,
10940,"2189|140","135",,,,
9660,"2189|141",,,,,
8914,"2189|141|2659",,,,,
16022,"2189|158","158",,,,
11108,"2189|172",,,,,
11155,"2189|172",,,,,
4911,"2189|174",,,,,
7675,"2189|191",,,,,
7655,"2189|191|7654",,,,,
16025,"2189|196","158",,,,
5145,"2189|196","2287",,,,
5256,"2189|196","2287",,,"682",
5995,"2189|196","756",,,,
5135,"2189|196","1702",,,,
8533,"2189|196",,,,,
5183,"2189|200","2287",,,,
5583,"2189|5582",,,,,
16032,"2189|209","233",,,,
6231,"2189|212","212",,,,
5234,"2189|212","1128",,,,
5296,"2189|212",,,,,
7668,"2189|7667",,,,,
12593,"2189|7667|2361",,"11902",,,
13409,"2189|214","2181",,,"2229",
15405,"2189|214","2173","15406",,,
6898,"2189|214",,,,,
11467,"2189|214",,,,,
13546,"2189|13545",,,,,
9929,"2189|9928",,,,,
11135,"2189|11134","2189",,,,
9205,"2189|8926","672",,,,
5178,"2189|221","2932",,,,
5150,"2189|221","1248",,,,
5160,"2189|221","1708",,,,
5106,"2189|228","2190",,,,
5090,"2189|2600","124",,,,
7663,"2189|234",,,,,
9987,"2189|246","335",,,,
13560,"2189|249",,,,,
5586,"2189|5115",,,,,
11870,"2189|5115",,,,,
5269,"2189|2204","129",,,,
5062,"2189|2204","2265",,,,
5260,"2189|2964","2933",,,,
13691,"2189|2215",,,,,
13819,"2189|6678",,,,,
5191,"2189|260","1119",,,,
16024,"2189|16023","158",,,,
9904,"2189|264","335",,,,
