corpusname,corpusidnumeric,personname,ethnicity,gender
IG Bulg 1(2),20409.2,8401,,
Other,100279,2176|2412|6840|6841,,
IG Bulg 5,75634,2997|2688,,
IG Bulg 4,62072,2211|816,,
"IG Bulg 3,1",41090,274,,
IG Bulg 1(2),20141.2,5733,,
IG Bulg 1(2),20315,449,,
IG Bulg 5,75244,390,,
IG Bulg 4,62014,2466,,
IG Bulg 1(2),20047.2,2176|2189|1124,,
"IG Bulg 3,1",41533,2210|7976,,
IG Bulg 1(2),20047,2189|1183,,
"IG Bulg 3,1",41513,732,,
IG Bulg 5,75464,683,,
IG Bulg 4,62112,1435,,
IG Bulg 4,62346,912,,
IG Bulg 1(2),20280,6033,,
"IG Bulg 3,1",41453,13445,,
IG Bulg 5,75129,11802,,
"IG Bulg 3,2",51743,247,,
IK Byzantion,96006,1329,,
IG Bulg 2,30751,1529,,
I Aeg Thrace,10213,4338,,
IK Byzantion,95333,1184,,
Perinthos-Herakleia,80061,1231,,
IK Byzantion,95031,1469,,
IG Bulg 1(2),20279,85,,
"IG Bulg 3,1",40939,2211,,
IG Bulg 4,62268,11247|1084,,
IG Bulg 2,30625,2176|2189|2609,,
Perinthos-Herakleia,80096,2173|12405|556,,
"IG Bulg 3,2",51714,2179|2211|6789|272,,
"IG Bulg 3,1",41515,2173|2458|3146|3147,,
Perinthos-Herakleia,80053,954,,
IG Bulg 5,75011,1439,,
IG Bulg 1(2),20165,1632,,
I Aeg Thrace,10311,2890|388,,
IG Bulg 1(2),20095,1299,,
IK Byzantion,95372,1124,,
IG Bulg 2,30804,543,,
IG Bulg 5,75329,1556,,
"IG Bulg 3,1",40990,2176|2412|683,,
IG Bulg 2,30799,1471,,
Perinthos-Herakleia,80124,2175|2204|1569,,
"IG Bulg 3,2",51690,3191|3345|3346,,
IG Bulg 1(2),20051,129,,
"IG Bulg 3,1",41515,2189|136,,
IG Bulg 4,62074,6761,,
IG Bulg 1(2),20401,334,,
IG Bulg 1(2),20006,1373,,
IK Byzantion,95269,6986,,
IG Bulg 1(2),20048,411,,
Perinthos-Herakleia,80193,12830,,
"IG Bulg 3,1",40951,1190,,
IK Byzantion,95147,15032,,
IG Bulg 1(2),20052,5666,,
IG Bulg 5,75160,2664|457,,
IG Bulg 5,75922,10967,,
I Aeg Thrace,10293,2287,,
IG Bulg 2,30491,4243,,
Perinthos-Herakleia,80094,335,,
IG Bulg 1(2),20148,842,,
Other,100047,15614,,
IG Bulg 5,75244,796,,
IK Sestos,90060,14096,,
"IG Bulg 3,1",40997,1196,,
IG Bulg 2,30618,2175|2206|2261|3325|8075,,
Other,100330,11034,,
IG Bulg 1(2),20046,2287,,
IG Bulg 4,62141,1194,,
IK Byzantion,95149,14963,,
IG Bulg 1(2),20337.2,1413,,
IG Bulg 2,30514,2189|2200,,
IK Byzantion,95149,1119,,
I Aeg Thrace,10312,2892,,
IG Bulg 1(2),20047,2189|20,,
IG Bulg 1(2),20046,176,,
Other,100296,2179|11475|3697,,
"IG Bulg 3,1",41517,2997|195,,
I Aeg Thrace,10048,1119,,
IG Bulg 2,30742,2181|6916,,
I Aeg Thrace,10212,226,,
IK Byzantion,95287,15325,,
IG Bulg 1(2),20024.2,2176|2664|2175,,
"IG Bulg 3,1",41420,2176|2234,,
"IG Bulg 3,1",41516,1085,,
I Aeg Thrace,10257,4445,,
IG Bulg 5,75831,1281,,
"IG Bulg 3,1",41019,2196|1626,,
IG Bulg 1(2),20158,784,,
"IG Bulg 3,1",41452,274,,
"IG Bulg 3,2",51843,2211|728,,
IG Bulg 5,75589,2287,,
IG Bulg 2,30659,3674,,
IK Byzantion,95127,3191|15000,,
Other,100071,15693,,
"IG Bulg 3,1",41133,2260,,
Other,100314,1616,,
IG Bulg 4,62255,2188|195,,
IK Byzantion,95227,15190,,
Other,100362,10530,,
IK Byzantion,95295,2189|15343,,
IG Bulg 1(2),20043.2,1307,,
"IG Bulg 3,1",41410,10034,,
Perinthos-Herakleia,80014,6867,,
"IG Bulg 3,1",40900,2349|7718|7719,,
IG Bulg 1(2),20078.3,129,,
IG Bulg 1(2),20050,5598,,
IG Bulg 2,30632,2176|2189|2261|2609,,
IG Bulg 4,62084,10356,,
IG Bulg 5,75515,2176|2185|2656,,
IG Bulg 1(2),20258,991,,
IG Bulg 1(2),20462,1121,,
Other,100217,2175|2206|2261|3325|8075,,
"IG Bulg 3,2",51606,6789,,
IK Byzantion,95223,1297,,
"IG Bulg 3,2",51852,352,,
"IG Bulg 3,1",41517,2189|825,,
IG Bulg 5,75103,839,,
IG Bulg 4,62085,2189,,
IK Byzantion,96052,14965,,
IG Bulg 1(2),20028.2,1527,,
"IG Bulg 3,2",51592,658,,
IG Bulg 1(2),20390,40,,
IG Bulg 4,62311,274,,
IG Bulg 1(2),20401,792,,
IG Bulg 4,62056,16634,,
IK Byzantion,95127,2176,,
Perinthos-Herakleia,80057,792,,
IG Bulg 2,30877,202,,
"IG Bulg 3,1",40893,2177|2181|473,,
IG Bulg 1(2),20015,2179|2991|2992,,
Perinthos-Herakleia,80291,13029,,
"IG Bulg 3,2",51553,2175|2206|2261|3325|8075,,
IG Bulg 4,62115,3891,,
"IG Bulg 3,2",51690,1085,,
IG Bulg 2,30669,6359|2241,,
I Aeg Thrace,10489,4819,,
IK Byzantion,95283,2252,,
Perinthos-Herakleia,80219,1642,,
IK Byzantion,95005,118,,
IG Bulg 4,62234,4852,,
IK Byzantion,95197,15046,,
"IG Bulg 3,1",40912,7934,,
"IG Bulg 3,2",51690,7611,,
IG Bulg 2,30621,2175|2206|2261|3325|8075,,
IK Byzantion,95127,2176|15000,,
Other,100337,451,,
IK Byzantion,95318,2189|214,,
Other,100353,139,,
IG Bulg 5,75826,1402,,
"IG Bulg 3,2",51552,124,,
IG Bulg 1(2),20154,176,,
IK Byzantion,96064,2189|2659,,
I Aeg Thrace,10084,597,,
IG Bulg 4,61903,2173|2458|3674,,
IG Bulg 2,30628,2175|2206|2261|3325|8075,,
IG Bulg 5,75693,5935,,
"IG Bulg 3,1",41332,3170,,
IG Bulg 1(2),20021,729,,
IG Bulg 5,75898,127,,
"IG Bulg 3,1",41510,11024|11025|11026|11027,,
Perinthos-Herakleia,80045,6610,,
IG Bulg 2,30868,1040,,
IG Bulg 4,61975,2189|3191,,
IG Bulg 5,75821,1085,,
IG Bulg 1(2),20090,2175|2206|2261|3325|8075,,
Other,100407,2349|7718|7719,,
Perinthos-Herakleia,80141,9144,,
I Aeg Thrace,10189,2233,,
"IG Bulg 3,2",51561,2458|6707,,
I Aeg Thrace,10269,4482,,
"IG Bulg 3,2",51571,2176|2189|135,,
IG Bulg 4,62104,2176|2412|10437,,
"IG Bulg 3,2",51736,1085,,
Perinthos-Herakleia,80052,16678,,
"IG Bulg 3,1",41320,855,,
Perinthos-Herakleia,80093,12394,,
I Aeg Thrace,10158,3891,,
IG Bulg 2,30867,141,,
IG Bulg 5,75122,360,,
Other,100272,15051,,
"IG Bulg 3,1",41516,243,,
Perinthos-Herakleia,80092,2722,,
IG Bulg 1(2),20077,1739,,
I Aeg Thrace,10227,100,,
IG Bulg 4,62321,403,,
I Aeg Thrace,10118,4098,,
IG Bulg 4,62077,2181|9893,,
"IG Bulg 3,1",41106,485,,
"IG Bulg 3,1",40973,2173|8641|7975,,
IK Byzantion,95343,15458,,
Perinthos-Herakleia,80064,450,,
I Aeg Thrace,10166,1536,,
IG Bulg 4,62161,2412,,
"IG Bulg 3,2",51583,1085,,
Other,100266,16030,,
Other,100068,15681,,
IG Bulg 4,62090,455,,
I Aeg Thrace,10083,1433,,
"IG Bulg 3,2",51690,1194,,
Perinthos-Herakleia,80061,12171,,
IG Bulg 4,62319,2234,,
IG Bulg 4,62074,1594,,
IG Bulg 1(2),20034,3891,,
IG Bulg 1(2),20060,2179|2181|2358|2609,,
"IG Bulg 3,1",41515,2179|2196|3013,,
IG Bulg 1(2),20254,133,,
IG Bulg 1(2),20382,8006,,
IG Bulg 5,75660,2997|2242,,
"IG Bulg 3,2",51690,1508,,
Other,100065,15669,,
IG Bulg 2,30730,2176|2189,,
IG Bulg 2,30493,2243,,
IG Bulg 2,30732,6860|6861,,
IK Byzantion,95233,15204,,
Other,100300,9774,,
IG Bulg 4,62078,1403,,
"IG Bulg 3,1",41439,7479,,
IG Bulg 1(2),20347,1704,,
Perinthos-Herakleia,80167,2188|12714,,
IG Bulg 2,30837,2287,,
IG Bulg 2,30597.2,1119,,
"IG Bulg 3,2",51690,725,,
IG Bulg 1(2),20047,2189|20,,
Other,100162,1503,,
IG Bulg 4,62124,6891,,
"IG Bulg 3,1",41346,716,,
IK Sestos,90038,14040,,
"IG Bulg 3,2",51690,7188,,
IG Bulg 1(2),20183,3541,,
Other,100009,9774,,
IG Bulg 5,75085,592,,
IG Bulg 4,62102,10431,,
I Aeg Thrace,10454,2173|2458|3146|2241,,
IK Byzantion,95019,683,,
IG Bulg 5,75170,640,,
Perinthos-Herakleia,80102,12429,,
IG Bulg 1(2),20344,182,,
IK Byzantion,96001,14198,,
IG Bulg 5,75591,641|6717,,
IG Bulg 5,75902,2189|6678,,
IK Byzantion,95187,15114,,
I Aeg Thrace,10104,247,,
I Aeg Thrace,10468,195,,
IG Bulg 1(2),20373,2189|1356,,
IG Bulg 2,30758,197,,
Other,100383,2179|2211|3712|6540,,
I Aeg Thrace,10242,280,,
IG Bulg 2,30665,2178|2196|6169,,
IG Bulg 5,75104,11773,,
Perinthos-Herakleia,80127,2176|2189|2412|12491,,
IG Bulg 4,61925,9015,,
"IG Bulg 3,2",51626,1085,,
"IG Bulg 3,1",41519,11157,,
I Aeg Thrace,10259,456,,
IG Bulg 5,75244,2176|2204,,
IK Byzantion,95029,14298,,
IK Sestos,90038,187,,
IK Byzantion,95212,175,,
"IG Bulg 3,2",51558,2189|390,,
IG Bulg 5,75572,13472,,
IG Bulg 4,61923,4608,,
"IG Bulg 3,1",41382,2255|3241|2239,,
IG Bulg 1(2),20047,2189|1020,,
IG Bulg 1(2),20272,6001,,
IG Bulg 4,62312,404,,
IG Bulg 4,62342,1642,,
IG Bulg 1(2),20337.2,298,,
Other,100142,196,,
"IG Bulg 3,1",41517,2189|172,,
"IG Bulg 3,2",51573,2189|1288,,
IK Byzantion,95166,15073,,
IK Byzantion,95130,15009,,
"IG Bulg 3,2",51806,1085,,
"IG Bulg 3,2",51669,811,,
Perinthos-Herakleia,80150,2188|12579,,
Perinthos-Herakleia,80061,2287,,
IG Bulg 4,62266,2181|2722,,
IG Bulg 5,75628,1085,,
IK Byzantion,95237,15013,,
"IG Bulg 3,2",51626,7186,,
Other,100043,1635,,
I Aeg Thrace,10037,1365,,
IG Bulg 5,75381,3951,,
I Aeg Thrace,10438,455,,
IG Bulg 2,30615,2458|2231,,
IG Bulg 4,62023,2176|2189|2261|2609,,
IG Bulg 5,75625,2173,,
Perinthos-Herakleia,80219,12919,,
"IG Bulg 3,1",41478,2233,,
I Aeg Thrace,10084,2178|2196|922,,
Other,100296,14917,,
IG Bulg 1(2),20007,16,,
IG Bulg 1(2),20447,390,,
"IG Bulg 3,1",40951,8598,,
IG Bulg 1(2),20079,85,,
"IG Bulg 3,1",41466,485,,
Perinthos-Herakleia,80051,3692,,
IG Bulg 5,75365,960,,
IG Bulg 4,62134,274,,
IG Bulg 2,30608,2175|2189|3674,,
"IG Bulg 3,2",51700,2176|2458|683,,
Other,100074,15700,,
IG Bulg 4,62289,1404,,
IG Bulg 4,62290,11332,,
"IG Bulg 3,1",41517,2189|11144,,
IK Byzantion,95038,14338|14339,,
I Aeg Thrace,10454,2173|2458|3146|3147,,
Other,100370,564,,
"IG Bulg 3,1",41211,829|10085,,
IG Bulg 1(2),20047.2,2189|449,,
"IG Bulg 3,2",51700.2,2189|442,,
IG Bulg 1(2),20206,3891,,
IG Bulg 5,75578,2179|2211|13480,,
IG Bulg 1(2),20010,462,,
IK Byzantion,95357,2917,,
"IG Bulg 3,1",41004,2287,,
IG Bulg 5,75787,56,,
IG Bulg 4,61904,2173|2458|3674,,
I Aeg Thrace,10289,141,,
Perinthos-Herakleia,80290,12013,,
IG Bulg 5,75063,990,,
IK Byzantion,95075,1128,,
IG Bulg 4,61984,399,,
IG Bulg 1(2),20043.2,1248,,
IG Bulg 1(2),20069,2634,,
"IG Bulg 3,1",40949,8593,,
Other,100312,16179,,
IK Sestos,90017,2179|2196|101,,
IG Bulg 1(2),20444,1708,,
Perinthos-Herakleia,80089,2173|2458|2229,,
IG Bulg 1(2),20314,3891,,
IG Bulg 4,62079,2188|9988,,
IG Bulg 1(2),20476,387,,
Other,100184,16417,,
IG Bulg 4,62288,1400,,
"IG Bulg 3,2",51690,497,,
IG Bulg 1(2),20227,4965,,
IG Bulg 4,61989,9219|9220,,
IK Byzantion,95032,1469,,
IG Bulg 5,75386,13350,,
"IG Bulg 3,2",51690,1085,,
Other,100162,2189|196,,
IK Byzantion,95309,110,,
IG Bulg 1(2),20412,697,,
IG Bulg 4,61988,3589,,
IK Byzantion,95002,14170,,
"IG Bulg 3,2",51690,2211|1196,,
IG Bulg 2,30796,1427,,
"IG Bulg 3,1",40951,8601,,
IG Bulg 1(2),20002,2240,,
IG Bulg 4,62251,313,,
IG Bulg 1(2),20051,124,,
IG Bulg 5,75335,2196|2930,,
"IG Bulg 3,2",51646,2176|2189,,
IG Bulg 1(2),20401,1059,,
I Aeg Thrace,10021,2257,,
IG Bulg 1(2),20048,2189|5115,,
IG Bulg 5,75816,799,,
"IG Bulg 3,1",41532,2210|7976,,
IG Bulg 1(2),20047,2189|459,,
IG Bulg 2,30639,2241,,
"IG Bulg 3,2",51552,2193,,
"IG Bulg 3,2",51690,7744|7851,,
IG Bulg 1(2),20455,106,,
IG Bulg 4,61917,2175|2181|3674,,
IG Bulg 2,30730,2261,,
"IG Bulg 3,2",51626,1338,,
I Aeg Thrace,10488,1766,,
IG Bulg 5,75244,456,,
Perinthos-Herakleia,80125,2188|3935,,
"IG Bulg 3,1",41351,1190,,
IK Byzantion,96014,14221,,
IG Bulg 1(2),20014,2189|2196,,
IG Bulg 5,75735,13688,,
IG Bulg 1(2),20006,1630,,
IG Bulg 1(2),20047.2,2189|1248,,
"IG Bulg 3,2",51874,399,,
"IG Bulg 3,1",41207,2189|823,,
IG Bulg 4,62088,1216,,
Other,100316,16185,,
IG Bulg 1(2),20479.3,1772,,
IG Bulg 2,30799,7165,,
Perinthos-Herakleia,80315,2173|3716|2215|13081,,
Perinthos-Herakleia,80010,2175|2206|2261|3325|8075,,
IG Bulg 4,61947,1472,,
Perinthos-Herakleia,80002,226,,
IK Sestos,90038,124,,
IG Bulg 4,61908,2211|2664,,
IG Bulg 1(2),20395.4,2541,,
IG Bulg 1(2),20046,2919,,
I Aeg Thrace,10226,1157,,
IG Bulg 2,30843,7427|1194,,
IG Bulg 2,30680,6477,,
IG Bulg 4,62337,1195,,
IG Bulg 1(2),20050,5595,,
I Aeg Thrace,10478,247,,
IG Bulg 1(2),20070.2,2997|2283,,
"IG Bulg 3,1",40884,2211|5978,,
IK Byzantion,95161,15062|15063,,
IG Bulg 1(2),20308.12,1319,,
IG Bulg 5,75238,545,,
"IG Bulg 3,1",41263,13427,,
IG Bulg 4,62315,1757,,
IG Bulg 2,30627,2429,,
Perinthos-Herakleia,80091,2179|2211|7762,,
IG Bulg 1(2),20047.2,2189|3112,,
IG Bulg 4,62041,2175|3738|9461,,
Other,100017,2229,,
IG Bulg 1(2),20337,1106,,
IG Bulg 1(2),20068,649,,
Other,100292,2193,,
IG Bulg 4,62022,2179|2211|1594,,
IG Bulg 1(2),20325,840,,
Perinthos-Herakleia,80289,12349|13016,,
Perinthos-Herakleia,80136,12525|3670,,
IG Bulg 1(2),20401,2277,,
IG Bulg 4,62263,386,,
"IG Bulg 3,2",51756,8276,,
I Aeg Thrace,10290,4554,,
"IG Bulg 3,1",41517,2176|2185|2656,,
IG Bulg 5,75387,2211|13360,,
IG Bulg 1(2),20322.3,233,,
Other,100133,979,,
IG Bulg 1(2),20041,809,,
IG Bulg 1(2),20043,998,,
Other,100378,2175|16506|562,,
"IG Bulg 3,1",41196,7263,,
IG Bulg 4,62176,10607,,
I Aeg Thrace,10396,2189|1021,,
Perinthos-Herakleia,80093,335,,
IK Byzantion,95206,12166,,
IG Bulg 1(2),20051.2,25,,
IG Bulg 1(2),20014,2189|1416,,
IG Bulg 1(2),20116,1471,,
Perinthos-Herakleia,80089,2229,,
"IG Bulg 3,1",41279,6156,,
IG Bulg 1(2),20428,8782,,
IG Bulg 1(2),20384,3423|8022|8021,,
Other,100318,3025,,
IG Bulg 2,30632,3713|3714,,
IG Bulg 2,30856,533,,
Perinthos-Herakleia,80061,12276,,
IG Bulg 5,75434,13386,,
IG Bulg 2,30686,5978,,
"IG Bulg 3,2",51629,2189|2261,,
Perinthos-Herakleia,80040,12080,,
IG Bulg 1(2),20409,540,,
IG Bulg 1(2),20191,129,,
IG Bulg 5,75833,2189|12880,,
I Aeg Thrace,10045,151,,
IK Byzantion,95286,359,,
IG Bulg 4,62346,1476,,
IG Bulg 5,75085,11740,,
Other,100326,2189|141,,
IK Byzantion,95059,14369,,
I Aeg Thrace,10016,820,,
IG Bulg 1(2),20174.2,2175,,
I Aeg Thrace,10329,2176,,
IG Bulg 4,61923,4437,,
"IG Bulg 3,1",41499,3170,,
Other,100375,9774,,
IG Bulg 4,61925,9025,,
"IG Bulg 3,2",51690,2176|2189|7887|2179,,
IK Byzantion,96053,14968,,
IG Bulg 1(2),20014,2189|1248,,
IK Byzantion,95119,1119,,
IG Bulg 1(2),20047,2189|200,,
"IG Bulg 3,2",51584,3891,,
IG Bulg 4,61913,8941|2251,,
IK Byzantion,95044,2175|2206|2261|3325|8075,,
IK Byzantion,95019,2452,,
"IG Bulg 3,1",40912,7943,,
IG Bulg 4,62192,205,,
IG Bulg 1(2),20008.2,5047,,
IK Byzantion,95184,2176|2185|6622,,
IK Sestos,90019,390,,
IG Bulg 1(2),20127,897,,
IG Bulg 4,61910,8931|1299,,
"IG Bulg 3,1",41005,1678,,
IG Bulg 1(2),20157,5509,,
IG Bulg 4,62325,6986,,
IG Bulg 1(2),20422,226,,
"IG Bulg 3,2",51690,1558,,
IG Bulg 2,30513,3170,,
IG Bulg 4,62338,33,,
"IG Bulg 3,2",51690,1442,,
IG Bulg 1(2),20342,29,,
"IG Bulg 3,1",41318,7769,,
IG Bulg 4,62214,456,,
IG Bulg 1(2),20078.3,20,,
IG Bulg 4,61972,2181|998,,
I Aeg Thrace,10089,2348|11,,
IG Bulg 4,62080,196,,
"IG Bulg 3,2",51821,3891,,
IG Bulg 4,61925,9028,,
IG Bulg 1(2),20047,2189|2928,,
IG Bulg 2,30835,5342,,
"IG Bulg 3,1",40947,274,,
I Aeg Thrace,10396,1429,,
IG Bulg 4,62000,2176|2185|2656,,
IK Byzantion,96062,14980,,
I Aeg Thrace,10304,620,,
Other,100163,6506|195,,
IG Bulg 1(2),20381,2176|2458|1160,,
IG Bulg 2,30521,4437|374,,
I Aeg Thrace,10438,2229,,
IG Bulg 1(2),20022.2,2189|1248,,
IG Bulg 4,62111,9242,,
IG Bulg 1(2),20256,5955,,
Other,100238,1365,,
Perinthos-Herakleia,80088,11271|12365|979,,
"IG Bulg 3,1",41409,56,,
IG Bulg 5,75694,12017,,
"IG Bulg 3,1",41460,2178|2196|1443,,
IG Bulg 5,75235,2241,,
IG Bulg 2,30539,2460,,
IG Bulg 1(2),20015.2,2176|2189,,
IG Bulg 2,30737,5978,,
IK Byzantion,95296,2188|12548,,
IG Bulg 1(2),20229,4956,,
Perinthos-Herakleia,80080,12360,,
"IG Bulg 3,1",41204,380,,
IK Sestos,90056,850,,
I Aeg Thrace,10483,2185,,
IG Bulg 1(2),20457,706,,
IG Bulg 1(2),20345,2191,,
Perinthos-Herakleia,80069,12341,,
"IG Bulg 3,1",41315,335,,
Perinthos-Herakleia,80170,12724,,
"IG Bulg 3,1",40912,2253,,
IG Bulg 1(2),20143,160,,
IG Bulg 2,30662,2204|6149,,
IG Bulg 1(2),20171.2,1222,,
IG Bulg 5,75566,2189|1616,,
I Aeg Thrace,10068,2176|2412|249,,
IG Bulg 1(2),20046,1308,,
IK Byzantion,95315,356,,
IG Bulg 1(2),20050,3891,,
IK Sestos,90060,56,,
IK Byzantion,95367,15491,,
"IG Bulg 3,2",51573,2176|2412|6779,,
IG Bulg 4,61964,2229,,
"IG Bulg 3,2",51584,2189|6373,,
I Aeg Thrace,10475,996,,
IG Bulg 5,75332,2429,,
Other,100168,1196,,
IG Bulg 5,75464,2779,,
"IG Bulg 3,1",41517,2189|11146,,
"IG Bulg 3,1",41098,9568,,
Perinthos-Herakleia,80096,2264,,
IG Bulg 2,30602,2358,,
IG Bulg 4,62250,2176|8959|2261,,
"IG Bulg 3,1",41006,2178|2196,,
Other,100291,3891,,
IK Sestos,90038,1647,,
IG Bulg 5,75271,2176|2185|1640,,
IG Bulg 1(2),20272,1708,,
IG Bulg 2,30816,1525,,
"IG Bulg 3,1",41517,2188|11121,,
I Aeg Thrace,10379,3066,,
IG Bulg 1(2),20399,8101,,
Other,100352,1068,,
IG Bulg 1(2),20206,4998,,
IG Bulg 4,62225,1346,,
IG Bulg 4,61939,2181|9062,,
IG Bulg 1(2),20047.2,2189|1248,,
I Aeg Thrace,10005,65,,
"IG Bulg 3,2",51653,449,,
IG Bulg 1(2),20007.2,56,,
IK Byzantion,95384,15527,,
"IG Bulg 3,2",51593,443,,
IG Bulg 2,30867,1092,,
"IG Bulg 3,2",51690,7731,,
IG Bulg 1(2),20314,2176|6214|6215,,
I Aeg Thrace,10370,4664,,
"IG Bulg 3,1",40892,7702|1263,,
IG Bulg 4,62288,11327,,
"IG Bulg 3,2",51690,7908|2257,,
IG Bulg 5,75921,1681,,
IG Bulg 1(2),20434,1298,,
Perinthos-Herakleia,80132,56,,
IK Sestos,90028,2211|13972,,
Perinthos-Herakleia,80266,12978,,
Perinthos-Herakleia,80090,2179|6214|1629,,
IG Bulg 1(2),20046,134,,
IG Bulg 1(2),20050,5368,,
"IG Bulg 3,1",40925,4648,,
"IG Bulg 3,1",41516,285,,
IG Bulg 5,75437,197,,
I Aeg Thrace,10214,4340,,
IG Bulg 2,30632,2429,,
"IG Bulg 3,2",51793,8394,,
IK Byzantion,95004,118,,
IK Byzantion,95019,2287,,
I Aeg Thrace,10388,538,,
IG Bulg 1(2),20046,998,,
Perinthos-Herakleia,80061,12195,,
IG Bulg 1(2),20176.3,196,,
IG Bulg 5,75909,10012,,
IG Bulg 2,30609.1,3578|3579,,
I Aeg Thrace,10354,1623,,
IG Bulg 4,61922,485,,
IG Bulg 4,62328,9028,,
"IG Bulg 3,1",41335,10307,,
Perinthos-Herakleia,80137,2196|12501,,
IG Bulg 5,75244,11920,,
IG Bulg 1(2),20047.2,2189|335,,
IG Bulg 5,75085,961,,
IG Bulg 1(2),20036,902,,
I Aeg Thrace,10161,1020,,
IK Byzantion,95148,15034,,
Perinthos-Herakleia,80260,1239,,
Other,100079,1102,,
IG Bulg 5,75244,2270,,
IK Byzantion,95068,1092,,
IG Bulg 2,30715,340,,
IG Bulg 2,30644,3738|3739,,
IK Byzantion,95315,3191,,
IK Sestos,90038,718,,
IG Bulg 2,30778,196,,
IG Bulg 1(2),20274,6008,,
IG Bulg 4,61912,2185,,
"IG Bulg 3,2",51558,2997|2998,,
Other,100224,2287,,
IG Bulg 2,30728,6825,,
Other,100121,1635,,
Perinthos-Herakleia,80211,569,,
"IG Bulg 3,1",40992,979,,
I Aeg Thrace,10179,4181,,
Perinthos-Herakleia,80138,8137|12548,,
IG Bulg 1(2),20169,141,,
IG Bulg 1(2),20384,2358|2429|2357|8016,,
IG Bulg 1(2),20401,3891,,
Other,100162,2189|158,,
IK Byzantion,95171,15084,,
"IG Bulg 3,2",51690,1442,,
I Aeg Thrace,10288,2858,,
IG Bulg 2,30509,4459,,
"IG Bulg 3,1",40912,7931|68|7932,,
IG Bulg 1(2),20178.2,20,,
Perinthos-Herakleia,80061,1762,,
Other,100197,195|16445,,
IK Byzantion,95320,2189|1645,,
IK Sestos,90001,1119,,
Other,100132,12548,,
I Aeg Thrace,10257,452,,
IG Bulg 1(2),20066,2287,,
IG Bulg 4,62233,10786,,
I Aeg Thrace,10462,2176|2189|3146,,
IG Bulg 4,62138,1234,,
IG Bulg 5,75859,2243,,
IG Bulg 2,30525,456,,
Perinthos-Herakleia,80059,6891,,
IG Bulg 4,62211,1751,,
IG Bulg 1(2),20330.3,297,,
Perinthos-Herakleia,80036,2175|2206|2261|3325|8075,,
"IG Bulg 3,1",40917,485,,
"IG Bulg 3,2",51667,1599,,
IG Bulg 5,75475,246,,
"IG Bulg 3,2",51710,2176|2458|683,,
I Aeg Thrace,10370,4666,,
"IG Bulg 3,2",51574,6132,,
IG Bulg 2,30814,7305,,
"IG Bulg 3,1",40909,2175|2206|2261|3325|8075,,
Other,100023,2211|1196,,
"IG Bulg 3,1",41386,1194,,
IG Bulg 2,30779,2229,,
"IG Bulg 3,2",51815,8478,,
IG Bulg 5,75922,13853,,
IG Bulg 2,30523,485,,
IG Bulg 5,75886,2189|196,,
I Aeg Thrace,10290,1150,,
IK Byzantion,95276,14957,,
IG Bulg 1(2),20047.2,2189|1183,,
"IG Bulg 3,1",41401.2,335,,
"IG Bulg 3,1",41516,4601,,
IG Bulg 2,30624,2176|2609,,
I Aeg Thrace,10277,3891,,
Perinthos-Herakleia,80061,12186,,
"IG Bulg 3,1",41317,497,,
IK Byzantion,95291,14267,,
IG Bulg 5,75716,2189,,
"IG Bulg 3,2",51846,247,,
IG Bulg 4,62137,10530,,
Perinthos-Herakleia,80044,11481|12091|264,,
"IG Bulg 3,2",51690,1775,,
I Aeg Thrace,10286,2855,,
IG Bulg 1(2),20004,4437,,
IG Bulg 1(2),20349.6,6524|335,,
I Aeg Thrace,10192,84,,
IG Bulg 1(2),20197,3891,,
"IG Bulg 3,2",51690,1194,,
IG Bulg 2,30609.1,2175|2189|3146,,
Other,100291,3891,,
IG Bulg 5,75779,13749,,
IG Bulg 1(2),20343.4,449,,
IG Bulg 2,30598,2173|2458|2361,,
IG Bulg 1(2),20463.2,1136,,
IG Bulg 5,75604,2997|2283,,
Perinthos-Herakleia,80056,643,,
IG Bulg 5,75534,10646|3146,,
IK Byzantion,95365,15487,,
IK Byzantion,95252,3891,,
"IG Bulg 3,2",51885,8882,,
IG Bulg 4,61909,2211|2664,,
I Aeg Thrace,10059,1149,,
IG Bulg 1(2),20039,1529,,
IG Bulg 1(2),20022.2,783,,
IK Byzantion,96043,14946,,
IK Sestos,90014,2175|2211|13938|2992,,
I Aeg Thrace,10467,2210,,
IG Bulg 5,75340,13272,,
IG Bulg 1(2),20046,212,,
Perinthos-Herakleia,80113,2188|12467,,
IG Bulg 4,62347,11379,,
I Aeg Thrace,10212,608,,
IG Bulg 5,75296,456,,
I Aeg Thrace,10040,390,,
Perinthos-Herakleia,80307,11232,,
IG Bulg 2,30624,2634,,
IG Bulg 1(2),20051.2,2177,,
Perinthos-Herakleia,80223,1087,,
IG Bulg 1(2),20330.3,1095,,
"IG Bulg 3,2",51554,2206|2189|264,,
IG Bulg 1(2),20319,6240,,
IG Bulg 2,30629,2175|2206|2261|3325|8075,,
IG Bulg 1(2),20401,932,,
IG Bulg 4,62104,654,,
IG Bulg 4,62263,2204|9528,,
IK Byzantion,95281,14109,,
Perinthos-Herakleia,80210,12853|12854,,
IK Byzantion,95361,116,,
IK Byzantion,95259,4399,,
"IG Bulg 3,2",51626,1194,,
"IG Bulg 3,1",41022,8060,,
"IG Bulg 3,1",41455,3191|2187|6807,,
Other,100286,390,,
IK Byzantion,95375,15295,,
Other,100099,2541,,
