personalname,parentname,ethnicname,partnername,grandparentname,ethnicity,gender
12796,,,2178,,,
12798,6610,,,,,
12798,,,456,,,
128,1373,,,,,
128,128,,,,,
1280,5856,,,,,
1280,1310,,,,,
1280,15807,,,,,
1280,1374,,,,,
12801,,,887,,,
12806,,,101,,,
12809,,,,,,
1281,,,,,,
12811,,,,,,
1282,,,,,,
1283,,,,,,
12830,,,3891,,,
12832,,,,,,
12835,1397,,,,,
12837,7937,,,,,
1284,,,,,,
12853|12854,12579,,,,,
12859,459,,,,,
1286,,,,,,
12861,12862,,,,,
12866,,,,,,
12869,12360,,1642,,,
12885|2196,3240,,,,,
129,5415,,,,,
129,1708,,733,,,
129,1757,,3391,,,
129,,,,,,
129,1702,,,,,
129,2466,,,,,
129,1119,,,,,
129,1112,,,,,
129,969,,1774,,,
1290,,,1638,,,
12917,6610,,,,,
12919,,,6610,,,
12919,,,,,,
12929,,,,,,
1294,,,,,,
12950,,,,,,
12962,,,,,,
12964,,,,,,
1297,1297,,,,,
1297,100,,,,,
1297,2591,,,,,
1297,5361,,,,,
1297,,,,,,
12978,,,,,,
1298,8793,,,,,
12980,,,,,,
1299,,,,,,
13,1691,,,,,
13,141,,,,,
13,196,,,,,
130,2236,,,,,
1300,2195,,,,,
13002,56,,,,,
1301,,,,,,
13014,858,,,,,
1302,234,,,,,
13029,,,,,,
13031|2204,,,,,,
13034,,,,,,
13035,,,,,,
1304,,,,,,
1305,141,,,,,
13063,,,,,,
1307,2814,,3391,,,
1307,4318,,,,,
1307,1307,,,,,
1307,1049,,,,,
13072,,,,,,
1308,113,,,,,
1308,,,,,,
1308,1757,,,,,
1308,196,,,,,
13094|449,,,,,,
13098|2215,,,,,,
131,1236,,,,,
1310,2914,,,,,
1310,1247,,,,,
1310,1183,,3383,,,
1310,1150,,,,,
1310,1101,,,,,
1310,98,,,,,
13101,,,7091,,,
13106,13106,,,,,
13108,,,,,,
1312,129,,,,,
1313,,,,,,
13135,,,,,,
1316,116,,,,,
13165,382,,,,,
1317,5767,,,,,
1318,1319,,,,,
1318,470,,,,,
13183,13184,,,,,
1319,,2007,,,,
1319,254,,,,,
1319,,,,,,
13193,,,,,,
132,20,,196,,,
132,141,,,,,
1320,430,2617,,,,
13206,,,,,,
1321,864,,,,,
13211,,,,,,
13218,368,,,,,
13221,1592,,,,,
13227,416,,,,,
1323,1710,,,,,
13230,7881,,,,,
13238,,,,,,
1325,3897,,,,,
13260,13261,,,,,
13263,,,,,,
13272,13273,,,,,
13275,7267,,,,,
13277,10572,,,,,
13281,13279,,,,,
13287,,,,,,
13289,,,,,,
1329,1329,,,,,
13292,,,,,,
133,,,,,,
133,135,,,,,
133,20,,1184,,,
133,196,,32,,,
133,,,6019,,,
1332,,,,,,
13326,12315,,,,,
1333,543,,,,,
1333,,,,,,
1334,13232,,,,,
13345,520,,,,,
13348,,,,,,
13350,,,,,,
1338,7195,,,,,
1338,5078,,,,,
13386,,,,,,
1339,1310,,,,,
134,,,,,,
134,1128,,,,,
134,774,,,,,
134,757,,,,,
134,2287,,,,,
134,141,,,,,
134,134,,,,,
13404,524,,,,,
1342,774,,,,,
13427,,,,,,
13434|2658,,,,,,
13438,,,,,,
13442,,,,,,
13445,,,,,,
1346,274,,,,,
1347,,,5390,,,
1347,1371,,,,,
1347,1655,,,,,
13472,,,,,,
1348,,,,,,
13480,,,,,,
13485|684,,,,,,
1349,,,,,,
135,2287,,,,,
135,115,,,,,
135,135,,,,,
135,141,,,,,
135,226,,,,,
135,243,,,,,
135,247,,,,,
135,279,,,,,
135,2173,,,,,
135,9848,,,,,
135,1222,,,,,
135,1232,,,,,
135,8335,,,,,
135,1319,,,,,
135,2252,,,,,
135,10906,,,,,
135,1427,8513,,,,
135,1546,,,,,
135,4729,,,,,
135,,,,,,
1350,4715,,,,,
13502,,,,,,
13509,1508,,,,,
1351,297,,,,,
1353,,,,,,
1354,860,,,,,
13542,,,,,,
13570,,,,,,
13570|11255,,,,,,
13572|13573,,,,,,
13577|13578,,,,,,
13583,,,,,,
136,4290,,,,,
136,136,,,,,
136,4320,,,,,
1360,,,,,,
13600,,,,,,
13609|13612|4775,,,,,,
1361,819,,,,,
13611|13609|13612,,,,,,
13612,,,,,,
13621|13622,,,,,,
1363,,,656,,,
1365,776,,,,,
1365,,,15974,,,
1366,141,,,,,
1366,6237,6178,,,,
1366,1115,,,,,
13666,13667,,,,,
13666,,,,,,
13677,,,,,,
1368,,,,,,
13685,2181,,,,,
13688,11884,,,,,
137,1124,,,,,
1370,1370,,,,,
13713,,,,,,
1372,16226,,,,,
1373,196,,,,,
1373,30,,,,,
1373,,,,,,
1373,4905,,,,,
1373,1069,,,,,
1373,683,,,,,
1373,473,,,,,
13746|168,390,,,,,
13749,1576,,,,,
1375,274,,,,,
13762,13763,,,,,
13763,274,,,,,
13767,1171,,,,,
1377,1377,,,,,
1377,1196,,,,,
1377,1133,,,,,
1379,1388,,,,,
13798|2719,,,,,,
138,,,,,,
